State_FP,Area,Delta,Rank
36,New York,4,1
28,Mississippi,3.3,2
42,Pennsylvania,2.8,3
50,Vermont,2.5,4
38,North Dakota,2.5,5
23,Maine,2.5,6
56,Wyoming,2.4,7
18,Indiana,2,8
09,Connecticut,1.7,9
33,New Hampshire,1.6,10
46,South Dakota,1.5,11
11,District of Columbia,1.5,--
17,Illinois,1.4,12
15,Hawaii,1.4,13
41,Oregon,1.3,14
29,Missouri,1.3,15
30,Montana,1.3,16
34,New Jersey,1.2,17
51,Virginia,1.1,18
44,Rhode Island,1.1,19
06,California,1.1,19
37,North Carolina,1,21
05,Arkansas,1,22
16,Idaho,0.9,23
01,Alabama,0.8,24
24,Maryland,0.7,25
13,Georgia,0.7,26
02,Alaska,0.7,27
19,Iowa,0.5,28
12,Florida,0.5,29
22,Louisiana,0.5,30
39,Ohio,0.5,31
54,West Virginia,0.4,32
53,Washington,0.4,33
08,Colorado,0.4,34
26,Michigan,0.4,35
32,Nevada,0.4,36
55,Wisconsin,0.2,37
35,New Mexico,0.2,38
04,Arizona,0.2,39
40,Oklahoma,0.2,40
48,Texas,0,41
20,Kansas,0,41
21,Kentucky,0,41
31,Nebraska,0,41
25,Massachusetts,-0.1,45
10,Delaware,-0.1,46
47,Tennessee,-0.4,47
45,South Carolina,-0.4,48
27,Minnesota,-0.5,49
49,Utah,-0.7,50
